symbol,price,rsi,vol_ratio,sma_20,atr,signal,timestamp
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T17:05:10.494912
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T17:05:10.494922
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T17:05:10.494925
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T17:05:10.494927
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T17:05:10.494928
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T17:05:10.494930
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T17:05:10.494931
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T17:05:10.494933
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T17:05:10.494934
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T17:05:10.494936
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T17:54:39.573099
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T17:54:39.573114
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T17:54:39.573117
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T17:54:39.573119
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T17:54:39.573121
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T17:54:39.573122
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T17:54:39.573124
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T17:54:39.573126
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T17:54:39.573128
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T17:54:39.573129
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T17:58:35.637388
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T17:58:35.637395
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T17:58:35.637397
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T17:58:35.637398
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T17:58:35.637399
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T17:58:35.637399
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T17:58:35.637400
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T17:58:35.637401
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T17:58:35.637402
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T17:58:35.637403
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T17:58:35.637403
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T17:58:35.637404
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T17:58:35.637405
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T17:58:35.637406
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T17:58:35.637406
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T17:58:35.637407
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T17:58:35.637408
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T17:58:35.637409
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T17:58:35.637409
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T17:58:35.637410
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T17:58:35.637411
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T17:58:35.637412
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T17:58:35.637412
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T17:58:35.637413
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T17:58:35.637414
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T17:58:35.637415
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T17:58:35.637415
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T17:58:35.637416
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T17:58:35.637417
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T17:58:35.637418
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T17:58:35.637418
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T17:58:35.637419
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T17:58:35.637420
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T17:58:35.637421
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T17:58:35.637421
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T17:58:35.637422
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T17:58:35.637423
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T17:58:35.637424
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T17:58:35.637425
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T17:58:35.637425
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T17:58:35.637426
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T17:58:35.637427
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T17:58:35.637428
